               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.034936,            0.011441,            0.042574,             0.64256,             0.62685,             0.62883,             0.47533,            0.012555,           0.0041468,            0.024733,            0.007393,            0.007393,            0.007393
                  81,            0.030224,            0.010933,            0.036258,             0.70949,             0.60985,             0.64853,              0.4266,            0.018656,           0.0041086,            0.024346,             0.00736,             0.00736,             0.00736
                  82,            0.033257,            0.010548,            0.042523,             0.76267,             0.58827,             0.66339,              0.4956,            0.015019,           0.0041841,             0.02398,            0.007327,            0.007327,            0.007327
                  83,            0.031088,           0.0092311,            0.043286,             0.72185,             0.62059,             0.65964,             0.47997,            0.015928,           0.0042236,            0.024067,            0.007294,            0.007294,            0.007294
                  84,            0.030923,            0.010159,            0.038369,             0.76752,             0.61667,             0.66258,             0.49466,            0.014776,           0.0041895,            0.023248,            0.007261,            0.007261,            0.007261
                  85,            0.031509,            0.010621,            0.036311,             0.59916,               0.575,             0.64782,              0.4699,             0.01708,           0.0043462,            0.022801,            0.007228,            0.007228,            0.007228
                  86,            0.027437,           0.0095546,            0.036033,             0.66561,             0.63075,             0.64861,             0.44082,            0.019495,           0.0044433,            0.022332,            0.007195,            0.007195,            0.007195
                  87,            0.031474,            0.010809,            0.038078,             0.65634,             0.60093,             0.65557,             0.46215,            0.018043,           0.0044496,            0.021876,            0.007162,            0.007162,            0.007162
                  88,            0.030383,            0.010301,            0.032398,             0.56612,             0.61034,             0.64226,             0.46483,            0.017803,           0.0045562,            0.021718,            0.007129,            0.007129,            0.007129
                  89,            0.030301,           0.0099697,            0.035075,             0.77911,             0.63003,             0.68565,             0.48094,            0.017996,           0.0044164,            0.021585,            0.007096,            0.007096,            0.007096
                  90,            0.030132,           0.0099147,                0.04,             0.84627,             0.61667,             0.70616,             0.53866,             0.01412,           0.0043657,            0.021289,            0.007063,            0.007063,            0.007063
                  91,            0.030167,           0.0099876,            0.034192,             0.79267,             0.65526,             0.72496,             0.55285,            0.015465,           0.0043394,            0.021093,             0.00703,             0.00703,             0.00703
                  92,            0.033977,             0.01018,            0.036618,             0.83916,             0.62462,              0.7355,             0.55138,              0.0154,           0.0041849,            0.020891,            0.006997,            0.006997,            0.006997
                  93,            0.030656,           0.0099523,            0.037819,             0.83207,              0.6379,             0.72556,             0.55769,            0.013169,           0.0041569,            0.020428,            0.006964,            0.006964,            0.006964
                  94,            0.024205,           0.0093802,            0.030149,             0.80087,             0.62136,             0.73516,             0.53602,            0.015628,           0.0042454,            0.020107,            0.006931,            0.006931,            0.006931
                  95,            0.035698,            0.010856,            0.034702,             0.82538,             0.60542,             0.75579,             0.55809,            0.014193,           0.0042682,            0.019757,            0.006898,            0.006898,            0.006898
                  96,            0.027239,           0.0093988,             0.03284,             0.73443,             0.69099,             0.77221,             0.56981,            0.013957,           0.0042626,            0.019427,            0.006865,            0.006865,            0.006865
                  97,            0.026159,             0.00978,            0.035205,             0.65545,             0.77778,             0.79878,             0.63678,            0.011328,           0.0041589,             0.01944,            0.006832,            0.006832,            0.006832
                  98,            0.028202,            0.011049,             0.03384,             0.65139,              0.7766,             0.78678,             0.59537,            0.014583,           0.0042118,            0.019315,            0.006799,            0.006799,            0.006799
                  99,            0.032157,            0.010085,            0.037538,             0.63325,             0.80227,             0.78345,             0.56559,            0.016187,           0.0040517,            0.019238,            0.006766,            0.006766,            0.006766
                 100,            0.029522,           0.0099649,            0.031603,             0.62696,             0.81855,             0.78695,             0.61878,            0.012084,           0.0040817,            0.019066,            0.006733,            0.006733,            0.006733
                 101,             0.02898,            0.010392,            0.034098,             0.61897,             0.81868,             0.79438,             0.59073,            0.014536,           0.0042722,            0.018694,              0.0067,              0.0067,              0.0067
                 102,             0.02977,             0.01007,            0.032993,             0.59307,             0.79909,             0.75545,             0.56135,            0.014252,            0.004222,             0.01853,            0.006667,            0.006667,            0.006667
                 103,            0.030671,            0.010005,            0.033336,             0.62036,             0.78548,             0.78309,             0.55272,            0.014469,           0.0045908,            0.018605,            0.006634,            0.006634,            0.006634
                 104,            0.029593,           0.0095507,            0.036736,             0.64257,             0.83667,             0.77623,             0.59505,             0.01472,           0.0043874,            0.018241,            0.006601,            0.006601,            0.006601
                 105,            0.029557,           0.0090877,            0.030884,             0.69248,             0.85267,             0.80218,              0.6083,            0.013643,           0.0040612,            0.017889,            0.006568,            0.006568,            0.006568
                 106,            0.027819,           0.0095962,            0.032393,             0.64806,             0.81944,             0.81082,             0.59202,            0.014728,           0.0039077,            0.017649,            0.006535,            0.006535,            0.006535
                 107,            0.023601,            0.010112,            0.029164,             0.62677,             0.84259,             0.82058,             0.62523,            0.014085,           0.0039799,            0.017446,            0.006502,            0.006502,            0.006502
                 108,            0.026828,           0.0094999,            0.031002,             0.62885,               0.825,             0.80229,             0.63026,            0.013744,           0.0038717,            0.017435,            0.006469,            0.006469,            0.006469
                 109,            0.029422,           0.0098291,            0.030337,             0.62398,             0.84616,             0.81278,             0.64513,            0.012659,           0.0037448,            0.017126,            0.006436,            0.006436,            0.006436
                 110,            0.027584,              0.0102,            0.029097,             0.61546,              0.8547,             0.83038,             0.65525,             0.01316,           0.0038081,            0.016668,            0.006403,            0.006403,            0.006403
                 111,            0.027588,            0.010052,            0.027775,             0.70449,             0.84003,             0.83365,             0.64041,            0.014963,           0.0040402,            0.016305,             0.00637,             0.00637,             0.00637
                 112,            0.029868,            0.010274,             0.03088,             0.63279,             0.88474,             0.83458,             0.65857,             0.01172,           0.0040421,            0.016573,            0.006337,            0.006337,            0.006337
                 113,            0.026661,            0.010387,            0.030709,             0.70376,             0.85738,              0.8602,             0.63253,            0.016467,           0.0040138,            0.016139,            0.006304,            0.006304,            0.006304
                 114,            0.024412,           0.0086341,            0.029689,             0.68445,             0.86667,             0.86311,             0.68279,            0.012285,           0.0039755,            0.016312,            0.006271,            0.006271,            0.006271
                 115,            0.027107,           0.0097076,            0.029401,             0.68521,             0.85271,             0.85415,             0.63196,            0.015385,           0.0039827,            0.016022,            0.006238,            0.006238,            0.006238
                 116,            0.025021,           0.0095732,            0.031432,             0.67517,             0.88359,             0.85605,             0.65759,             0.01425,           0.0038513,            0.015726,            0.006205,            0.006205,            0.006205
                 117,            0.028183,           0.0090272,            0.032036,             0.65403,             0.87639,             0.82673,             0.64158,            0.012987,           0.0038376,            0.015605,            0.006172,            0.006172,            0.006172
